identifier,lines
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the marginal standing facility (MSF) rate and the Bank Rate remains at 5.50 per cent.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",The MPC also decided to continue with the neutral stance.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Growth and Inflation Outlook
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","7.      The global economy showed remarkable resilience in 2025, aided and"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","supported by trade front-loading, a milder-than-anticipated impact of tariffs, broad"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",fiscal stimulus and accommodative monetary policy. Inflation is on a path of gradual
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","decline, although it remains above target in several advanced economies. US yields"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",are trading with an upward bias amidst receding expectations of imminent rate cuts
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","underpinned by firm economic data. Equities, supported by sustained investment in"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","tech stocks, have advanced, even as fiscal strains, geopolitical uncertainty and"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",monetary policy divergence continue to impart volatility to financial markets.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","8.     On the domestic front, real gross domestic product (GDP), as per the First"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Advance Estimates (FAE), is estimated to grow at 7.4 per cent (y-o-y) in 2025-26."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Private consumption and fixed investment contributed significantly to overall growth.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Net external demand, however, continued to be a drag, with imports outpacing"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","exports. On the supply side, real GVA growth of 7.3 per cent is driven by buoyant"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","services sector, resilient agricultural sector and revival in manufacturing activity."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","9.       Looking ahead, sustained buoyancy in services sector, GST rationalisation,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","healthy rabi prospects, monetary easing and benign inflation environment should"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","support private consumption. Investment activity, supported by high capacity"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","utilisation, conducive financial conditions, healthy balance sheets of financial"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","institutions and corporates, robust credit growth and Government’s continued thrust"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","on capital expenditure, is expected to maintain its momentum. Moreover, robust"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",domestic demand is likely to attract fresh investments by the private sector. While
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","services exports are expected to remain strong, merchandise exports will get a boost"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",from the prospective trade deal with the US. The landmark comprehensive trade pact
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",with the European Union coupled with trade deals with New Zealand and Oman
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","should help diversify exports and strengthen the external sector. On the other hand,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","headwinds from geopolitical tensions, uncertain global trade environment, volatility in"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",global financial markets and international commodity prices continue to pose downside
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","risks to the outlook. Taking all these factors into consideration, real GDP growth"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",projections for Q1:2026-27 and Q2 are revised upwards to 6.9 per cent and 7.0 per
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent, respectively (Chart 1). 1 The risks are evenly balanced."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",10.    Headline CPI inflation remained low at 0.7 per cent in November and 1.3 per
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent in December, 2025. While food group continued to be in deflation, inflation within"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the fuel group remained moderate in November and December. Core inflation (CPI
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","excluding food and fuel) too remained benign, despite the pick-up in prices of precious"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals. Excluding gold, core inflation remained stable at 2.6 per cent in December."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Projections for full year 2026-27 will be set out in the Monetary Policy Resolution to be announced in April 2026 after
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","incorporating the new GDP and CPI series (base 2024=100) to be released on February 27 and February 12, 2026, respectively."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",11.     Near-term outlook suggests that food supply prospects remain bright on the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","back of healthy kharif production, adequate buffer stocks of foodgrains and favourable"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rabi sowing. Core inflation, barring potential volatility induced by prices of precious"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals, is expected to be range-bound. Geopolitical uncertainty coupled with volatility"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",in energy prices and adverse weather events are other possible upside risks to
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation. In terms of headline inflation trajectory, unfavourable base effects stemming"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",from large decline in prices observed in Q4:2024-25 would lead to an uptick in y-o-y
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation in Q4:2025-26, despite the anticipated momentum being muted. Considering"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","all these factors, CPI inflation for 2025-26 is now projected at 2.1 per cent with Q4 at"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",3.2 per cent. CPI inflation for Q1:2026-27 and Q2 are projected at 4.0 per cent and
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","4.2 per cent, respectively (Chart 2). Excluding precious metals, the underlying inflation"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",pressures remain muted. The risks are evenly balanced.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Rationale for Monetary Policy Decisions
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","12.    The MPC noted that since the last policy meeting, external headwinds have"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",intensified though the successful completion of trade deals augurs well for the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic outlook. Overall, the near-term domestic inflation and growth outlook remain"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",positive.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",13.     Headline inflation during November-December remained below the tolerance
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",band of the inflation target. The outlook for CPI inflation in Q1:2026-27 and Q2
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",continues to be benign and near the inflation target. The slight upward revision in the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation outlook is primarily due to increase in prices of precious metals, which"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",contribute about 60-70 basis points. The underlying inflation continue to be low.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","14.    On the growth front, economic activity remains resilient. The First Advance"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Estimates suggest continuing growth momentum, driven by domestic factors amidst a"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",challenging external environment. The growth outlook remains favourable.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",15.   Based on a comprehensive review of the domestic macroeconomic conditions
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","and the outlook, the MPC is of the view that the current policy rate is appropriate."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Accordingly, the MPC voted to continue with the existing policy rate. The MPC also"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","agreed to retain the neutral stance. However, Prof. Ram Singh retained his view that"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the stance be changed from neutral to accommodative. Going forward, the MPC will"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",be guided by the evolving macroeconomic conditions and the outlook based on data
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",from the new series in charting the future course of monetary policy.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","16.   The minutes of the MPC’s meeting will be published on February 20, 2026."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","17.   The next meeting of the MPC is scheduled for April 6 - 8, 2026."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Voting on the Resolution to keep policy repo rate unchanged at 5.25 per cent
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Member                                                   Vote
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Dr. Nagesh Kumar                                         Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Shri Saugata Bhattacharya                                Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Prof. Ram Singh                                          Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Shri Indranil Bhattacharyya                              Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Dr. Poonam Gupta                                         Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Shri Sanjay Malhotra                                     Yes
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Statement by Dr. Nagesh Kumar
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",18.     The economic outlook for the Indian economy has brightened considerably
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",since the December 2025 MPC Meeting. The conclusion of the long-pending EU-India
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","FTA negotiations on 27 January, followed quickly by the announcement of the US-"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","India trade deal have helped to lift the sentiment, which had been depressed by the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",imposition of 50% tariffs on India’s exports by the US since August 2025. The first
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",advance estimates for 2025-26 suggest continued growth momentum. This
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","momentum has been further boosted by the Union Budget 2026-27 proposals,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","including for fostering the manufacturing sector, tourism, services, including the new"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Data Centres policy, while sustaining the big thrust to the infrastructure capex."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Together, these developments have lifted India’s economic outlook significantly."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",19.     The economic outlook has also been looking up even before these recent
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","events, with improved manufacturing performance and accelerated growth of IIP"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","manufacturing in Q3: 2025-26, a strong infrastructure pipeline, and continued robust"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rural consumption, which is now complemented by a turnaround of urban demand."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",These improvements happened against the backdrop of the fact that high US tariffs
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","did hit India’s exports of non-exempted goods, especially the labour-intensive goods."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","However, we were able to diversify our exports to alternative markets. Hence, the loss"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",of export earnings was minimised. Having expressed my concerns at previous MPC
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",meetings about the implications of potential loss of export opportunities in the US due
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to high tariffs, particularly in labour-intensive goods such as textiles and garments,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","leather goods, gems & jewellery and shrimp, among other food products, I am very"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",impressed by the ability of our exporters to diversify to other markets with the
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",government support measures. The diversification of export markets should not stop
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","now that we have the market access in the US back, with the trade deal."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",20.    The most important implication of the new trade deals is that India is back at
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the table as the most promising destination for China+1 supply chain restructuring,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","given its large and fast growing domestic market, abundant skills, a robust and stable"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic framework, fast improving infrastructure and logistics, with zero duty access"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to virtually entire European market (considering the EFTA, UK and EU deals),"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Australia, UAE, Japan, Korea, among other markets, and access to the US market at"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","18% tariff level, which is comparable to its peers, if not better. This brightens the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",outlook for FDI inflows and for manufacturing.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","21.     The inflation outlook continues to remain benign, with headline CPI remaining"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","low at 1.3% in December 2025, and the inflation outlook not showing any concerns of"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","overheating. With the opening up of Venezuelan oil supplies for India, brightening of"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the prospects of the Iran deal, the oil prices are likely to remain in check. The upshot"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of these trends, namely brightening economic growth outlook amid a continued benign"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflationary trend, provides an opportunity for India to stay in the ‘goldilocks’ zone for"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",longer.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",22.     This leads to a possible changed narrative for monetary policy discussion. The
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",monetary policy actions in the recent past were addressed to curb the inflationary
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures or to help support economic recovery. Now, with the continued benign"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflationary outlook opening up some policy space and with growth rates looking up,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the monetary policy may turn its focus to support the acceleration of economic growth
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rates from around 7% to around 8%, complementing the fiscal policy, in tune with the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Viksit Bharat vision.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","23.    However, at this juncture, maintaining the status quo is a prudent action, as we"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","await the new data series on both CPI and growth rates, and the transmission of the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","December policy rate cut is still happening. Hence, I vote for the status quo on both"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the repo rate and the stance.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Statement by Shri Saugata Bhattacharya
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",24.    The RBI Governor’s statement post the February 2026 policy review provides
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",a comprehensive and detailed coverage and analysis of the present domestic and
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",global macroeconomic environment and outlook. This does not bear repetition here.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",The following just briefly emphasises some specific trends.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","25.    Overall, high frequency indicators signal resilience in economic activity. Bank"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","credit growth to non-retail sectors has gradually increased, which, together with a"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",stable manufacturing capacity utilisation and signs of fiscal stimulus-led consumption
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","demand boost, might be a harbinger of a gradual revival in private sector capex."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","26.   At the same time, the resolution projects CPI inflation to rise to the target in H1"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","FY27. In my assessment, not just higher inflation, the risks of further inflationary"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures are accumulating. Despite this, the good news is that household inflation"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",expectations remained anchored.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","27.     The new GDP, CPI inflation and IIP series, derived from economic structures"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of the new base years, are pending. These incorporate revised methodologies,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","classifications and data sources, which are designed to better capture economic"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",activity and price formation. These data series will provide a clearer lens on the growth
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",– inflation balance.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","28.    Assessing the macro-financial environment, while awaiting the new economic"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","data series, I think the policy rate is appropriate. Hence, I vote to keep the repo rate"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","at 5.25%. Moreover, taking into account the continuing uncertainty on various geo-"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic dimensions, it is prudent to continue with the neutral stance."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",Statement by Prof. Ram Singh
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","29.    The real GDP (FAE) is estimated to grow by 7.4 per cent in 2025-26, with"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",private consumption and fixed investment contributing significantly to the growth. On
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the supply side, buoyant services sector, the resilient agricultural sector, and the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",revival in manufacturing activity are expected to deliver real GVA growth of 7.3 per
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent. Looking ahead, real GDP growth is projected to be 6.9 per cent and 7.0 per cent"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","for Q1:FY27 and Q2: FY27, respectively."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","30.    Despite the 7 per cent plus growth rate, there are no signs of overheating in the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economy. CPI inflation for 2025-26 is expected to be 2.1 per cent, with Q4 at 3.2 per"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",cent. CPI inflation for Q1and Q2 of FY27 is projected to be a tad higher at 4.0 per cent
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","and 4.2 per cent, respectively. Filtering out the effect of increases in prices of precious"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals (60-70 bps), the underlying inflation pressures are expected to remain muted."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","31.      Going ahead, robust domestic demand in conjunction with improved capacity"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",utilisation is likely to attract fresh private-sector investment. Conducive financial
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","conditions, healthy balance sheets of banks, NBFCs, and corporates, a pick-up in"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","credit growth, and the central government capex provide resilience to the growth"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","outlook. However, geopolitical tensions, uncertainty around the global trade"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","environment, and volatility in global financial markets continue to pose downside risks"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",to the growth outlook.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","32.    Overall, the growth momentum is steady, and the transmission of the 125 bps"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","repo rate cut is still underway. So, the current policy rate seems appropriate at this"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","time. Accordingly, I vote to keep the repo rate at 5.25 per cent."
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","33.    An important question is: At this point, will a growth-supportive monetary policy"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",risk fuel inflation? The extent and timing of further repo rate cuts will largely be
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","determined by the incoming data. However, a few trends on inflation and growth fronts"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",are noticeable for a forward-looking monetary policy.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","34.     On the price front, a review of the headline CPI and CPI-Core inflation data"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",suggests that in the recent years the two have diverged quite significantly. In recent
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","quarters, it is the headline CPI that seems to be swinging around CPI-Core inflation;"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the latter has been moderate and range-bound The expected rise in the headline CPI
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",to 4.0% in Q1 and 4.2% in Q2 of FY26-27 is not entirely driven by domestic demand-
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pull factors; precious metals prices have also played a significant role. Further, the"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","CPI core (excluding gold) has been well below 4 per cent over the last 8-9 quarters,"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",even though the economy is expected to register average growth of above 7.4% over
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",the last 5 quarters.
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",35.   It seems the economy is entering a structural phase where a 7 per cent-plus
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","growth rate and moderate inflation can coexist. If anything, the output gap might still"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","be negative. As I have argued in the past, a growth rate above 7.5% appears realistic"
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",without building up price pressure. The potential growth rate seems to have inched up
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",aided by productivity and efficiency gains from infrastructure and the technological
"Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","advances in the last few years. Going forward, impact of AI is expected to be"
