"","identifier","lines"
"45","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the industrial, services and infrastructure sectors, and the projections of professional"
"46","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","forecasters. Drawing on the above and after extensive discussions on the stance of"
"47","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","monetary policy, the MPC adopted the resolution that is set out below."
"48","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"49","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Resolution"
"50","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"51","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","5.     The Monetary Policy Committee (MPC) held its 59th meeting from February 4"
"52","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to 6, 2026, under the chairmanship of Shri Sanjay Malhotra, Governor, Reserve Bank"
"53","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"54","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"55","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                                         1"
"56","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"57","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of India. The MPC members Dr. Nagesh Kumar, Shri Saugata Bhattacharya, Prof."
"58","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Ram Singh, Dr. Poonam Gupta and Shri Indranil Bhattacharyya attended the meeting."
"59","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","6.     After a detailed assessment of the evolving macroeconomic and financial"
"60","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","developments and the outlook, the MPC voted unanimously to keep the policy repo"
"61","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rate under the liquidity adjustment facility (LAF) unchanged at 5.25 per cent."
"62","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Consequently, the standing deposit facility (SDF) rate remains at 5.00 per cent and"
"63","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the marginal standing facility (MSF) rate and the Bank Rate remains at 5.50 per cent."
"64","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","The MPC also decided to continue with the neutral stance."
"65","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"66","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Growth and Inflation Outlook"
"67","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"68","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","7.      The global economy showed remarkable resilience in 2025, aided and"
"69","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","supported by trade front-loading, a milder-than-anticipated impact of tariffs, broad"
"70","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","fiscal stimulus and accommodative monetary policy. Inflation is on a path of gradual"
"71","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","decline, although it remains above target in several advanced economies. US yields"
"72","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","are trading with an upward bias amidst receding expectations of imminent rate cuts"
"73","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","underpinned by firm economic data. Equities, supported by sustained investment in"
"74","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","tech stocks, have advanced, even as fiscal strains, geopolitical uncertainty and"
"75","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","monetary policy divergence continue to impart volatility to financial markets."
"76","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","8.     On the domestic front, real gross domestic product (GDP), as per the First"
"77","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Advance Estimates (FAE), is estimated to grow at 7.4 per cent (y-o-y) in 2025-26."
"78","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Private consumption and fixed investment contributed significantly to overall growth."
"79","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Net external demand, however, continued to be a drag, with imports outpacing"
"80","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","exports. On the supply side, real GVA growth of 7.3 per cent is driven by buoyant"
"81","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","services sector, resilient agricultural sector and revival in manufacturing activity."
"82","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","9.       Looking ahead, sustained buoyancy in services sector, GST rationalisation,"
"83","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","healthy rabi prospects, monetary easing and benign inflation environment should"
"84","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","support private consumption. Investment activity, supported by high capacity"
"85","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","utilisation, conducive financial conditions, healthy balance sheets of financial"
"86","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","institutions and corporates, robust credit growth and Government’s continued thrust"
"87","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","on capital expenditure, is expected to maintain its momentum. Moreover, robust"
"88","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","domestic demand is likely to attract fresh investments by the private sector. While"
"89","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","services exports are expected to remain strong, merchandise exports will get a boost"
"90","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","from the prospective trade deal with the US. The landmark comprehensive trade pact"
"91","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","with the European Union coupled with trade deals with New Zealand and Oman"
"92","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","should help diversify exports and strengthen the external sector. On the other hand,"
"93","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","headwinds from geopolitical tensions, uncertain global trade environment, volatility in"
"94","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","global financial markets and international commodity prices continue to pose downside"
"95","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","risks to the outlook. Taking all these factors into consideration, real GDP growth"
"96","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","projections for Q1:2026-27 and Q2 are revised upwards to 6.9 per cent and 7.0 per"
"97","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent, respectively (Chart 1). 1 The risks are evenly balanced."
"98","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","10.    Headline CPI inflation remained low at 0.7 per cent in November and 1.3 per"
"99","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","cent in December, 2025. While food group continued to be in deflation, inflation within"
"100","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the fuel group remained moderate in November and December. Core inflation (CPI"
"101","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","excluding food and fuel) too remained benign, despite the pick-up in prices of precious"
"102","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals. Excluding gold, core inflation remained stable at 2.6 per cent in December."
"103","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"104","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","1"
"105","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","  Projections for full year 2026-27 will be set out in the Monetary Policy Resolution to be announced in April 2026 after"
"106","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","incorporating the new GDP and CPI series (base 2024=100) to be released on February 27 and February 12, 2026, respectively."
"107","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"108","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                                            2"
"109","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"110","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","11.     Near-term outlook suggests that food supply prospects remain bright on the"
"111","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","back of healthy kharif production, adequate buffer stocks of foodgrains and favourable"
"112","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rabi sowing. Core inflation, barring potential volatility induced by prices of precious"
"113","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","metals, is expected to be range-bound. Geopolitical uncertainty coupled with volatility"
"114","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","in energy prices and adverse weather events are other possible upside risks to"
"115","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation. In terms of headline inflation trajectory, unfavourable base effects stemming"
"116","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","from large decline in prices observed in Q4:2024-25 would lead to an uptick in y-o-y"
"117","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation in Q4:2025-26, despite the anticipated momentum being muted. Considering"
"118","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","all these factors, CPI inflation for 2025-26 is now projected at 2.1 per cent with Q4 at"
"119","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","3.2 per cent. CPI inflation for Q1:2026-27 and Q2 are projected at 4.0 per cent and"
"120","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","4.2 per cent, respectively (Chart 2). Excluding precious metals, the underlying inflation"
"121","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures remain muted. The risks are evenly balanced."
"122","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"123","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"124","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"125","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"126","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Rationale for Monetary Policy Decisions"
"127","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"128","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","12.    The MPC noted that since the last policy meeting, external headwinds have"
"129","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","intensified though the successful completion of trade deals augurs well for the"
"130","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic outlook. Overall, the near-term domestic inflation and growth outlook remain"
"131","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","positive."
"132","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","13.     Headline inflation during November-December remained below the tolerance"
"133","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","band of the inflation target. The outlook for CPI inflation in Q1:2026-27 and Q2"
"134","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","continues to be benign and near the inflation target. The slight upward revision in the"
"135","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflation outlook is primarily due to increase in prices of precious metals, which"
"136","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","contribute about 60-70 basis points. The underlying inflation continue to be low."
"137","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","14.    On the growth front, economic activity remains resilient. The First Advance"
"138","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Estimates suggest continuing growth momentum, driven by domestic factors amidst a"
"139","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","challenging external environment. The growth outlook remains favourable."
"140","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","15.   Based on a comprehensive review of the domestic macroeconomic conditions"
"141","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","and the outlook, the MPC is of the view that the current policy rate is appropriate."
"142","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Accordingly, the MPC voted to continue with the existing policy rate. The MPC also"
"143","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","agreed to retain the neutral stance. However, Prof. Ram Singh retained his view that"
"144","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"145","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                           3"
"146","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"147","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the stance be changed from neutral to accommodative. Going forward, the MPC will"
"148","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","be guided by the evolving macroeconomic conditions and the outlook based on data"
"149","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","from the new series in charting the future course of monetary policy."
"150","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","16.   The minutes of the MPC’s meeting will be published on February 20, 2026."
"151","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","17.   The next meeting of the MPC is scheduled for April 6 - 8, 2026."
"152","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026"," Voting on the Resolution to keep policy repo rate unchanged at 5.25 per cent"
"153","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Member                                                   Vote"
"154","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Dr. Nagesh Kumar                                         Yes"
"155","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Shri Saugata Bhattacharya                                Yes"
"156","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Prof. Ram Singh                                          Yes"
"157","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Shri Indranil Bhattacharyya                              Yes"
"158","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Dr. Poonam Gupta                                         Yes"
"159","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","      Shri Sanjay Malhotra                                     Yes"
"160","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"161","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Statement by Dr. Nagesh Kumar"
"162","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","18.     The economic outlook for the Indian economy has brightened considerably"
"163","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","since the December 2025 MPC Meeting. The conclusion of the long-pending EU-India"
"164","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","FTA negotiations on 27 January, followed quickly by the announcement of the US-"
"165","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","India trade deal have helped to lift the sentiment, which had been depressed by the"
"166","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","imposition of 50% tariffs on India’s exports by the US since August 2025. The first"
"167","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","advance estimates for 2025-26 suggest continued growth momentum. This"
"168","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","momentum has been further boosted by the Union Budget 2026-27 proposals,"
"169","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","including for fostering the manufacturing sector, tourism, services, including the new"
"170","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Data Centres policy, while sustaining the big thrust to the infrastructure capex."
"171","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Together, these developments have lifted India’s economic outlook significantly."
"172","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","19.     The economic outlook has also been looking up even before these recent"
"173","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","events, with improved manufacturing performance and accelerated growth of IIP"
"174","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","manufacturing in Q3: 2025-26, a strong infrastructure pipeline, and continued robust"
"175","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rural consumption, which is now complemented by a turnaround of urban demand."
"176","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","These improvements happened against the backdrop of the fact that high US tariffs"
"177","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","did hit India’s exports of non-exempted goods, especially the labour-intensive goods."
"178","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","However, we were able to diversify our exports to alternative markets. Hence, the loss"
"179","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of export earnings was minimised. Having expressed my concerns at previous MPC"
"180","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","meetings about the implications of potential loss of export opportunities in the US due"
"181","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to high tariffs, particularly in labour-intensive goods such as textiles and garments,"
"182","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","leather goods, gems & jewellery and shrimp, among other food products, I am very"
"183","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","impressed by the ability of our exporters to diversify to other markets with the"
"184","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","government support measures. The diversification of export markets should not stop"
"185","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","now that we have the market access in the US back, with the trade deal."
"186","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","20.    The most important implication of the new trade deals is that India is back at"
"187","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the table as the most promising destination for China+1 supply chain restructuring,"
"188","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","given its large and fast growing domestic market, abundant skills, a robust and stable"
"189","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","economic framework, fast improving infrastructure and logistics, with zero duty access"
"190","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","to virtually entire European market (considering the EFTA, UK and EU deals),"
"191","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Australia, UAE, Japan, Korea, among other markets, and access to the US market at"
"192","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"193","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"194","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","                                          4"
"195","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"196","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","18% tariff level, which is comparable to its peers, if not better. This brightens the"
"197","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","outlook for FDI inflows and for manufacturing."
"198","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","21.     The inflation outlook continues to remain benign, with headline CPI remaining"
"199","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","low at 1.3% in December 2025, and the inflation outlook not showing any concerns of"
"200","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","overheating. With the opening up of Venezuelan oil supplies for India, brightening of"
"201","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the prospects of the Iran deal, the oil prices are likely to remain in check. The upshot"
"202","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of these trends, namely brightening economic growth outlook amid a continued benign"
"203","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflationary trend, provides an opportunity for India to stay in the ‘goldilocks’ zone for"
"204","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","longer."
"205","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","22.     This leads to a possible changed narrative for monetary policy discussion. The"
"206","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","monetary policy actions in the recent past were addressed to curb the inflationary"
"207","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures or to help support economic recovery. Now, with the continued benign"
"208","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","inflationary outlook opening up some policy space and with growth rates looking up,"
"209","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the monetary policy may turn its focus to support the acceleration of economic growth"
"210","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","rates from around 7% to around 8%, complementing the fiscal policy, in tune with the"
"211","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Viksit Bharat vision."
"212","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","23.    However, at this juncture, maintaining the status quo is a prudent action, as we"
"213","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","await the new data series on both CPI and growth rates, and the transmission of the"
"214","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","December policy rate cut is still happening. Hence, I vote for the status quo on both"
"215","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","the repo rate and the stance."
"216","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"217","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","Statement by Shri Saugata Bhattacharya"
"218","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026",""
"219","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","24.    The RBI Governor’s statement post the February 2026 policy review provides"
"220","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","a comprehensive and detailed coverage and analysis of the present domestic and"
"221","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","global macroeconomic environment and outlook. This does not bear repetition here."
"222","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","The following just briefly emphasises some specific trends."
"223","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","25.    Overall, high frequency indicators signal resilience in economic activity. Bank"
"224","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","credit growth to non-retail sectors has gradually increased, which, together with a"
"225","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","stable manufacturing capacity utilisation and signs of fiscal stimulus-led consumption"
"226","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","demand boost, might be a harbinger of a gradual revival in private sector capex."
"227","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","26.   At the same time, the resolution projects CPI inflation to rise to the target in H1"
"228","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","FY27. In my assessment, not just higher inflation, the risks of further inflationary"
"229","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","pressures are accumulating. Despite this, the good news is that household inflation"
"230","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","expectations remained anchored."
"231","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","27.     The new GDP, CPI inflation and IIP series, derived from economic structures"
"232","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","of the new base years, are pending. These incorporate revised methodologies,"
"233","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","classifications and data sources, which are designed to better capture economic"
"234","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","activity and price formation. These data series will provide a clearer lens on the growth"
"235","Minutes of the Monetary Policy Committee Meeting, February 4 to 6, 2026","– inflation balance."
